CMDLINE /home/mdzaja/installations/miniconda3/envs/mt/bin/python hp_opt.py
MEM 4867.437500 1702668352.6597
MEM 4874.121094 1702668352.7598
MEM 4874.378906 1702668352.8600
MEM 4879.261719 1702668352.9602
MEM 4879.519531 1702668353.0603
MEM 4879.835938 1702668353.1605
MEM 4889.753906 1702668353.2607
MEM 4829.726562 1702668353.3608
MEM 4832.042969 1702668353.4610
MEM 4832.351562 1702668353.5611
MEM 4832.480469 1702668353.6613
MEM 4832.726562 1702668353.7614
MEM 4832.726562 1702668353.8616
MEM 4832.980469 1702668353.9618
MEM 4833.460938 1702668354.0619
MEM 4833.601562 1702668354.1621
MEM 4833.675781 1702668354.2623
MEM 4833.675781 1702668354.3624
MEM 4833.929688 1702668354.4626
MEM 4840.746094 1702668354.5627
MEM 4841.007812 1702668354.6629
MEM 4841.320312 1702668354.7631
MEM 4841.394531 1702668354.8632
MEM 4841.906250 1702668354.9634
MEM 4837.035156 1702668355.0636
MEM 4837.332031 1702668355.1637
MEM 4837.996094 1702668355.2639
MEM 4838.332031 1702668355.3641
MEM 4838.847656 1702668355.4643
MEM 4842.714844 1702668355.5644
MEM 4848.593750 1702668355.6646
MEM 4848.898438 1702668355.7648
MEM 4849.585938 1702668355.8649
MEM 4850.171875 1702668355.9651
MEM 4850.429688 1702668356.0653
MEM 4851.238281 1702668356.1654
MEM 4851.691406 1702668356.2656
MEM 4852.347656 1702668356.3658
MEM 4852.859375 1702668356.4659
MEM 4853.375000 1702668356.5661
MEM 4854.148438 1702668356.6663
MEM 4861.921875 1702668356.7664
MEM 4854.125000 1702668356.8666
MEM 4854.671875 1702668356.9668
MEM 4855.535156 1702668357.0670
MEM 4856.417969 1702668357.1672
MEM 4856.675781 1702668357.2674
MEM 4857.746094 1702668357.3675
MEM 4857.773438 1702668357.4677
MEM 4858.914062 1702668357.5678
MEM 4859.554688 1702668357.6680
MEM 4860.066406 1702668357.7682
MEM 4860.402344 1702668357.8684
MEM 4861.238281 1702668357.9685
MEM 4861.492188 1702668358.0686
MEM 4862.648438 1702668358.1688
MEM 4862.968750 1702668358.2690
MEM 4863.496094 1702668358.3691
MEM 4864.304688 1702668358.4693
MEM 4864.363281 1702668358.5694
MEM 4865.261719 1702668358.6696
MEM 4866.078125 1702668358.7697
MEM 4866.335938 1702668358.8699
MEM 4867.421875 1702668358.9701
MEM 4867.445312 1702668359.0702
MEM 4868.410156 1702668359.1704
MEM 4868.957031 1702668359.2706
MEM 4869.468750 1702668359.3708
MEM 4869.730469 1702668359.4709
MEM 4870.558594 1702668359.5711
MEM 4872.386719 1702668359.6713
MEM 4872.882812 1702668359.7714
MEM 4873.214844 1702668359.8716
MEM 4873.750000 1702668359.9718
MEM 4874.566406 1702668360.0720
MEM 4874.566406 1702668360.1721
MEM 4875.078125 1702668360.2723
MEM 4874.710938 1702668360.3724
MEM 4875.085938 1702668360.4726
MEM 4875.468750 1702668360.5728
MEM 4875.863281 1702668360.6730
MEM 4877.429688 1702668360.7731
MEM 4879.234375 1702668360.8733
MEM 4879.703125 1702668360.9734
MEM 4880.097656 1702668361.0736
MEM 4880.468750 1702668361.1738
MEM 4880.878906 1702668361.2739
MEM 4882.441406 1702668361.3741
MEM 4884.246094 1702668361.4743
MEM 4884.750000 1702668361.5744
MEM 4885.144531 1702668361.6746
MEM 4885.527344 1702668361.7747
MEM 4885.941406 1702668361.8749
MEM 4887.277344 1702668361.9751
MEM 4889.355469 1702668362.0752
MEM 4890.113281 1702668362.1754
MEM 4890.523438 1702668362.2755
MEM 4890.910156 1702668362.3757
MEM 4891.332031 1702668362.4758
MEM 4892.671875 1702668362.5760
MEM 4894.734375 1702668362.6762
